0.,0.9974507074274465
0.1,0.9903081723473341
0.2,0.9693232932253911
0.3,0.9356852398694544
0.4,0.890757973943913
0.5,0.8359976947207881
0.6,0.7727878854653474
0.7,0.7024611148682957
0.8,0.626366181660415
0.9,0.545781881801978
1.,0.4619332339423562
1.1,0.37599277948286525
1.2,0.28904764835151625
1.3,0.20211790880327818
1.4,0.11614010983120786
1.5,0.0319690737892799
1.6,-0.049622199405122185
1.7,-0.12794565893294763
1.8,-0.20239450582951424
1.9,-0.27244359160362613
2.,-0.33764647492959843
2.1,-0.39763316805130133
2.2,-0.4521071045136241
2.3,-0.5008417861626017
2.4,-0.5436772325241381
2.5,-0.5805160899741497
2.6,-0.611319760705778
2.7,-0.6361042243242313
2.8,-0.6549359581609719
2.9,-0.6679277067550589
3.,-0.6752343151490652
3.1,-0.6770485610547216
3.2,-0.6735970523157168
3.3,-0.6651361942738498
3.4,-0.6519482441772132
3.5,-0.6343375117426985
3.6,-0.6126266299192555
3.7,-0.5871530209735019
3.8,-0.5582654744922154
3.9,-0.5263208889481037
4.,-0.4916812201228996
4.1,-0.4547105283497411
4.2,-0.415772276504417
4.3,-0.375226760844078
4.4,-0.3334287322070751
4.5,-0.2907252445811467
4.6,-0.24745360932545044
4.7,-0.2039396125872446
4.8,-0.16049586444925343
4.9,-0.11742033835818971
5.,-0.07499512789321863
5.1,-0.0334853033320941
5.2,0.0068619872455129155
5.3,0.045818299503179755
5.4,0.08317450406164444
5.5,0.11874121040509149
5.6,0.15234910576482166
5.7,0.18384908897298327
5.8,0.21311231011655607
5.9,0.2400300728081848
6.,0.2645135918068874
6.1,0.2864936859029941
6.2,0.30592031781304074
6.3,0.3227620678302914
6.4,0.33700551020780206
6.5,0.3486544936038429
6.6,0.35772937956360557
6.7,0.36426618515984655
6.8,0.36831568853753377
6.9,0.3699424792319813
7.,0.36922396141548475
7.1,0.3662493377357732
7.2,0.3611185529694727
7.3,0.35394122777460024
7.4,0.3448355766116473
7.5,0.3339273226015414
7.6,0.3213486130435911
7.7,0.30723694344587227
7.8,0.2917340943974909
7.9,0.2749850857153737
8.,0.2571371628784434
8.1,0.2383388000109514
8.2,0.21873874913987928
8.3,0.19848511890963327
8.4,0.17772449491198705
8.5,0.1566011166554312
8.6,0.13525608178234128
8.7,0.11382662115041185
8.8,0.09244541307914776
8.9,0.0712399536211928
9.,0.05033199602240883
9.1,0.02983702264783429
9.2,0.009863798725449638
9.3,-0.009486031832304233
9.4,-0.028118289997675894
9.5,-0.04594653461609348
9.6,-0.06289230282344606
9.7,-0.07888527017551152
9.8,-0.09386337171495518
9.9,-0.10777286645502629
10.,-0.12056833921796936
10.1,-0.1322126740066472
10.2,-0.14267695868292457
10.3,-0.15194035810023765
10.4,-0.15998994125962498
10.5,-0.16682046044301072
10.6,-0.172434108937625
10.7,-0.17684022849928577
10.8,-0.18005499555210652
10.9,-0.18210107610944606
11.,-0.18300725096375295
11.1,-0.1828080280698149
11.2,-0.18154322640642728
11.3,-0.17925754983369097
11.4,-0.17600014587794025
11.5,-0.17182415377452617
11.6,-0.16678624848238977
11.7,-0.16094617786958898
11.8,-0.1543663005140224
11.9,-0.14711112380555977
12.,-0.13924684842510548
12.1,-0.13084091658809963
12.2,-0.12196157231027772
12.3,-0.11267743100356778
12.4,-0.10305706206638823
12.5,-0.09316859119682903
12.6,-0.08307931243333587
12.7,-0.07285532626031581
12.8,-0.06256119304249125
12.9,-0.05225960826684336
13.,-0.04201110597788925
13.1,-0.031873775604370345
13.2,-0.02190301306327011
13.3,-0.012151290146893524
13.4,-0.002667950152281148
13.5,0.0065009649910225085
13.6,0.015312872930677434
13.7,0.02372877253958345
13.8,0.03171334724822554
13.9,0.03923504192666359
14.,0.04626610969813575
14.1,0.052782644978636446
14.2,0.05876458290738724
14.3,0.06419568286737379
14.4,0.06906348889548516
14.5,0.07335926521104894
14.6,0.07707792054087653
14.7,0.08021790576276411
14.8,0.08278109975932066
14.9,0.08477267801793438
15.,0.08620096398242962
15.1,0.08707727283467308
15.2,0.0874157379202387
15.3,0.08723313038984074
15.4,0.08654866876704385
15.5,0.08538381993103997
15.6,0.08376209656826115
15.7,0.08170884735885157
15.8,0.07925104545935326
15.9,0.07641707424444617
16.,0.0732365128377796
16.1,0.0697399219529112
16.2,0.06595863185996974
16.3,0.061924533116500785
16.4,0.05766987104472237
16.5,0.05322704701762469
16.6,0.04862842322136879
16.7,0.04390613710169223
16.8,0.039091921937896144
16.9,0.03421693608132607
17.,0.0293116039583926
17.1,0.024405462731048155
17.2,0.019527023663594777
17.3,0.01470364160970141
17.4,0.009961396117165898
17.5,0.005324986868549615
17.6,0.0008176358470038081
17.7,-0.0035389935567593823
17.8,-0.00772486873551999
17.9,-0.011721647520889222
18.,-0.01551272326670959
18.1,-0.019083263212236086
18.2,-0.0224202302970835
18.3,-0.025512396949197512
18.4,-0.028350347242848708
18.5,-0.03092646623227907
18.6,-0.033234923466289236
18.7,-0.03527164249193954
18.8,-0.037034263967186856
18.9,-0.03852209945329293
19.,-0.03973607555617439
19.1,-0.04067867377908348
19.2,-0.04135386035666635
19.3,-0.04176701191920964
19.4,-0.041924835012577176
19.5,-0.04183527990950945
19.6,-0.041507451984718
19.7,-0.04095151774784539
19.8,-0.04017860912131081
19.9,-0.03920072505039582
20.,-0.03803063146438693
20.1,-0.03668176067632136
20.2,-0.03516811006537652
20.3,-0.0335041412582549
20.4,-0.03170467990696541
20.5,-0.029784817433657636
20.6,-0.027759813857038188
20.7,-0.025645003865774726
